Company,Year,HSI,GES,Sector,SizNumFXHedge,SizNumFXFutFor,SizNumFXFutures,HedgingIndex,AvgAnnualGPR,GDP,CPI,InterestRate,TradeBalance,AvgAnnualVolatility,TypesOfDerivativesUsed,FXDerivativesNotional,ForeignAssetsPct,CountriesOperated,HedgeAccountingMentions,IntlCapexPct,IntlEmployeesPct,SupplyChainComplexity,FilingType,PoliticalRiskInsurance,IntlRDExpensePct,VARModelMentions,RiskCommitteeMentions,ForeignRevenuePct,DerivativesFairValue
T,2018,2.45,4.96,Communication Services,8.0,4.0,0.0,-0.2422161422923732,98.5529073079427,20656.5155,250.768,1.7999999999999998,-48754.75,0.0489315467899222,1,1837,0.86,5,86,0.6,0.86,0.27,10-K,0,0.31,0,0,0.43,70
T,2021,2.68,3.97,Communication Services,8.0,4.0,0.0,-0.2422161422923732,82.07023620605469,23681.17075,269.43925,0.085,-65778.25,0.0367126568155122,1,2422,0.59,65,153,0.66,0.25,0.66,10-K,1,0.02,0,0,0.64,444
T,2022,4.58,5.61,Communication Services,8.0,4.0,0.0,-0.2422161422923732,157.58319346110025,26006.8925,291.01075,1.2925,-77411.5,0.0658741685287667,1,522,0.3,59,135,0.43,0.17,0.19,10-K,0,0.1,0,0,0.75,400
T,2023,2.63,5.35,Communication Services,8.0,4.0,0.0,-0.2422161422923732,121.7112553914388,27720.7095,303.8955,4.9025,-66942.25,0.0594364112350361,3,2843,0.35,8,149,0.69,0.63,0.41,10-K,1,0.11,0,0,0.64,382
T,2024,3.34,5.43,Communication Services,8.0,4.0,0.0,-0.2422161422923732,134.31085014343262,29184.89025,312.985,5.205,-73269.0,0.0549303013068517,1,1346,0.71,41,147,0.48,0.22,0.22,10-K,1,0.04,0,0,0.66,238
T,2019,4.67,5.5,Communication Services,8.0,4.0,0.0,-0.2422161422923732,90.94625282287598,21539.9815,255.18775,2.2625,-47073.75,0.033617409789894,1,1509,0.17,19,91,0.42,0.74,0.21,10-K,1,0.14,0,0,0.56,187
T,2020,3.82,6.33,Communication Services,8.0,4.0,0.0,-0.2422161422923732,77.29380416870117,21354.10475,258.4575,0.445,-53864.5,0.0423494427006115,4,2198,0.44,32,129,0.47,0.12,0.89,10-K,1,0.12,0,0,0.53,406
VZ,2018,2.89,5.19,Communication Services,1.0,3.0,0.0,-0.3426206658221238,98.5529073079427,20656.5155,250.768,1.7999999999999998,-48754.75,0.0489315467899222,1,2508,0.47,10,107,0.21,0.63,0.7,10-K,0,0.23,0,0,0.53,244
VZ,2019,3.68,5.71,Communication Services,1.0,3.0,0.0,-0.3426206658221238,90.94625282287598,21539.9815,255.18775,2.2625,-47073.75,0.033617409789894,3,1170,0.66,51,94,0.15,0.27,0.87,10-K,1,0.08,0,0,0.16,139
VZ,2020,3.56,6.81,Communication Services,1.0,3.0,0.0,-0.3426206658221238,77.29380416870117,21354.10475,258.4575,0.445,-53864.5,0.0423494427006115,3,2169,0.68,26,136,0.46,0.47,0.18,10-K,1,0.53,0,0,0.24,207
VZ,2021,4.27,5.11,Communication Services,1.0,3.0,0.0,-0.3426206658221238,82.07023620605469,23681.17075,269.43925,0.085,-65778.25,0.0367126568155122,3,875,0.67,60,163,0.76,0.48,0.96,10-K,0,0.42,0,0,0.61,366
VZ,2022,3.24,7.13,Communication Services,1.0,3.0,0.0,-0.3426206658221238,157.58319346110025,26006.8925,291.01075,1.2925,-77411.5,0.0658741685287667,5,1159,0.29,51,160,0.44,0.86,0.19,10-K,0,0.34,0,0,0.63,308
VZ,2023,4.53,7.26,Communication Services,1.0,3.0,0.0,-0.3426206658221238,121.7112553914388,27720.7095,303.8955,4.9025,-66942.25,0.0594364112350361,2,2372,0.58,34,215,0.68,0.5,0.59,10-K,1,0.36,0,0,0.87,103
VZ,2024,5.81,6.68,Communication Services,1.0,3.0,0.0,-0.3426206658221238,134.31085014343262,29184.89025,312.985,5.205,-73269.0,0.0549303013068517,4,1781,0.49,79,215,0.65,0.55,0.74,10-K,1,0.21,0,1,0.64,373
TMUS,2018,1.52,5.41,Communication Services,0.0,0.0,0.0,-0.3711620069788983,98.5529073079427,20656.5155,250.768,1.7999999999999998,-48754.75,0.0489315467899222,4,1629,0.71,24,1,0.13,0.89,0.25,10-K,1,0.4,0,0,0.88,311
TMUS,2019,2.49,5.91,Communication Services,0.0,0.0,0.0,-0.3711620069788983,90.94625282287598,21539.9815,255.18775,2.2625,-47073.75,0.033617409789894,2,76,0.75,38,67,0.63,0.65,0.12,10-K,0,0.58,0,0,0.26,12
TMUS,2020,3.73,5.85,Communication Services,0.0,0.0,0.0,-0.3711620069788983,77.29380416870117,21354.10475,258.4575,0.445,-53864.5,0.0423494427006115,3,806,0.41,43,79,0.29,0.63,0.31,10-K,1,0.29,0,0,0.71,77
TMUS,2021,3.26,5.64,Communication Services,0.0,0.0,0.0,-0.3711620069788983,82.07023620605469,23681.17075,269.43925,0.085,-65778.25,0.0367126568155122,4,1653,0.78,47,79,0.38,0.16,0.21,10-K,1,0.56,0,0,0.35,220
TMUS,2022,1.84,5.28,Communication Services,0.0,0.0,0.0,-0.3711620069788983,157.58319346110025,26006.8925,291.01075,1.2925,-77411.5,0.0658741685287667,3,1419,0.12,63,79,0.72,0.12,0.87,10-K,0,0.44,0,0,0.75,229
TMUS,2023,4.53,5.16,Communication Services,0.0,0.0,0.0,-0.3711620069788983,121.7112553914388,27720.7095,303.8955,4.9025,-66942.25,0.0594364112350361,2,586,0.86,38,73,0.69,0.65,0.46,10-K,0,0.26,0,0,0.12,29
TMUS,2024,3.35,5.46,Communication Services,0.0,0.0,0.0,-0.3711620069788983,134.31085014343262,29184.89025,312.985,5.205,-73269.0,0.0549303013068517,3,2482,0.16,38,59,0.24,0.85,0.97,10-K,0,0.46,0,0,0.29,479
CHTR,2018,2.03,5.04,Communication Services,17.0,0.0,0.0,-0.1393906119612927,98.5529073079427,20656.5155,250.768,1.7999999999999998,-48754.75,0.0489315467899222,4,1417,0.11,20,15,0.37,0.7,0.72,10-K,1,0.16,0,0,0.86,443
CHTR,2019,3.29,5.93,Communication Services,17.0,0.0,0.0,-0.1393906119612927,90.94625282287598,21539.9815,255.18775,2.2625,-47073.75,0.033617409789894,1,1423,0.49,16,3,0.34,0.48,0.36,10-K,1,0.38,0,0,0.22,116
CHTR,2020,3.63,6.19,Communication Services,17.0,0.0,0.0,-0.1393906119612927,77.29380416870117,21354.10475,258.4575,0.445,-53864.5,0.0423494427006115,2,1242,0.54,32,5,0.53,0.53,0.45,10-K,1,0.1,0,0,0.68,436
CHTR,2021,2.11,4.77,Communication Services,17.0,0.0,0.0,-0.1393906119612927,82.07023620605469,23681.17075,269.43925,0.085,-65778.25,0.0367126568155122,4,1049,0.52,48,0,0.21,0.86,0.79,10-K,0,0.5,0,0,0.69,335
CHTR,2022,3.89,5.64,Communication Services,17.0,0.0,0.0,-0.1393906119612927,157.58319346110025,26006.8925,291.01075,1.2925,-77411.5,0.0658741685287667,2,851,0.17,4,0,0.68,0.33,0.51,10-K,0,0.59,0,0,0.64,116
CHTR,2023,4.13,7.38,Communication Services,17.0,0.0,0.0,-0.1393906119612927,121.7112553914388,27720.7095,303.8955,4.9025,-66942.25,0.0594364112350361,4,1876,0.76,13,0,0.64,0.47,0.76,10-K,0,0.58,0,0,0.27,282
CHTR,2024,3.51,5.83,Communication Services,17.0,0.0,0.0,-0.1393906119612927,134.31085014343262,29184.89025,312.985,5.205,-73269.0,0.0549303013068517,5,702,0.14,71,0,0.51,0.52,0.74,10-K,1,0.59,0,3,0.82,423
CMCSA,2018,3.18,4.79,Communication Services,3.0,3.0,0.0,-0.315353442878876,98.5529073079427,20656.5155,250.768,1.7999999999999998,-48754.75,0.0489315467899222,2,1345,0.72,12,37,0.7,0.27,0.95,10-K,1,0.05,0,0,0.73,99
CMCSA,2019,3.95,4.53,Communication Services,3.0,3.0,0.0,-0.315353442878876,90.94625282287598,21539.9815,255.18775,2.2625,-47073.75,0.033617409789894,2,2747,0.72,44,46,0.23,0.46,0.26,10-K,0,0.18,0,0,0.82,123
CMCSA,2020,3.18,5.32,Communication Services,3.0,3.0,0.0,-0.315353442878876,77.29380416870117,21354.10475,258.4575,0.445,-53864.5,0.0423494427006115,5,935,0.7,18,119,0.06,0.31,0.24,10-K,1,0.29,0,0,0.32,266
CMCSA,2021,2.61,5.89,Communication Services,3.0,3.0,0.0,-0.315353442878876,82.07023620605469,23681.17075,269.43925,0.085,-65778.25,0.0367126568155122,1,2626,0.36,18,104,0.56,0.54,0.97,10-K,0,0.48,0,0,0.35,231
CMCSA,2022,3.49,5.15,Communication Services,3.0,3.0,0.0,-0.315353442878876,157.58319346110025,26006.8925,291.01075,1.2925,-77411.5,0.0658741685287667,2,109,0.51,74,104,0.18,0.61,0.38,10-K,1,0.01,0,0,0.73,341
CMCSA,2023,4.52,3.99,Communication Services,3.0,3.0,0.0,-0.315353442878876,121.7112553914388,27720.7095,303.8955,4.9025,-66942.25,0.0594364112350361,5,441,0.18,67,115,0.31,0.42,0.37,10-K,0,0.48,0,0,0.83,200
CMCSA,2024,2.98,5.55,Communication Services,3.0,3.0,0.0,-0.315353442878876,134.31085014343262,29184.89025,312.985,5.205,-73269.0,0.0549303013068517,5,1509,0.31,17,108,0.08,0.88,0.29,10-K,0,0.29,0,0,0.5,363
PARA,2018,2.09,3.88,Communication Services,70.0,9.0,0.0,0.6279139850902239,98.5529073079427,20656.5155,250.768,1.7999999999999998,-48754.75,0.0489315467899222,4,2740,0.36,27,40,0.46,0.83,0.87,10-K,0,0.41,0,0,0.38,399
PARA,2019,3.16,4.19,Communication Services,70.0,9.0,0.0,0.6279139850902239,90.94625282287598,21539.9815,255.18775,2.2625,-47073.75,0.033617409789894,1,1894,0.5,11,51,0.22,0.57,0.67,10-K,0,0.2,0,0,0.24,28
PARA,2020,4.44,4.98,Communication Services,70.0,9.0,0.0,0.6279139850902239,77.29380416870117,21354.10475,258.4575,0.445,-53864.5,0.0423494427006115,1,1568,0.53,17,40,0.21,0.46,0.6,10-K,0,0.37,0,0,0.32,440
PARA,2021,5.49,4.25,Communication Services,70.0,9.0,0.0,0.6279139850902239,82.07023620605469,23681.17075,269.43925,0.085,-65778.25,0.0367126568155122,5,778,0.88,36,37,0.14,0.36,0.47,10-K,1,0.09,0,0,0.21,499
PARA,2022,2.94,5.54,Communication Services,70.0,9.0,0.0,0.6279139850902239,157.58319346110025,26006.8925,291.01075,1.2925,-77411.5,0.0658741685287667,5,2861,0.2,51,37,0.43,0.2,0.37,10-K,0,0.41,0,0,0.52,498
PARA,2023,4.09,7.31,Communication Services,70.0,9.0,0.0,0.6279139850902239,121.7112553914388,27720.7095,303.8955,4.9025,-66942.25,0.0594364112350361,2,730,0.78,14,21,0.74,0.47,0.32,10-K,0,0.59,0,0,0.44,396
PARA,2024,3.78,3.67,Communication Services,70.0,9.0,0.0,0.6279139850902239,134.31085014343262,29184.89025,312.985,5.205,-73269.0,0.0549303013068517,5,2781,0.68,68,19,0.78,0.56,0.71,10-K,1,0.14,0,0,0.57,64
FOXA,2019,3.98,8.28,Communication Services,0.0,0.0,0.0,-0.3711620069788983,90.94625282287598,21539.9815,255.18775,2.2625,-47073.75,0.033617409789894,3,2631,0.66,67,2,0.66,0.45,0.93,10-K,1,0.55,0,0,0.78,307
FOXA,2020,4.23,5.94,Communication Services,0.0,0.0,0.0,-0.3711620069788983,77.29380416870117,21354.10475,258.4575,0.445,-53864.5,0.0423494427006115,5,662,0.51,78,3,0.06,0.87,0.2,10-K,1,0.31,0,0,0.35,471
FOXA,2021,3.86,4.25,Communication Services,0.0,0.0,0.0,-0.3711620069788983,82.07023620605469,23681.17075,269.43925,0.085,-65778.25,0.0367126568155122,4,2550,0.2,75,3,0.58,0.47,0.12,10-K,0,0.12,0,0,0.46,161
FOXA,2022,2.94,3.99,Communication Services,0.0,0.0,0.0,-0.3711620069788983,157.58319346110025,26006.8925,291.01075,1.2925,-77411.5,0.0658741685287667,1,2365,0.58,9,3,0.12,0.55,0.57,10-K,0,0.4,0,0,0.2,256
FOXA,2023,3.73,6.65,Communication Services,0.0,0.0,0.0,-0.3711620069788983,121.7112553914388,27720.7095,303.8955,4.9025,-66942.25,0.0594364112350361,5,2257,0.38,75,0,0.71,0.85,0.77,10-K,0,0.37,0,0,0.55,46
